Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.7904267903826715,117,Positive
SHRIRAMFIN.NS,CHOLAFIN.NS,0.7686505574738921,0,Positive
SHRIRAMFIN.NS,BAJAJFINSV.NS,-0.6506716995360654,-82,Negative
SHRIRAMFIN.NS,BAJFINANCE.NS,0.6498429707477937,117,Positive
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.8902592674010709,73,Negative
SHRIRAMFIN.NS,HINDALCO.NS,-0.7340297147414813,89,Negative
SHRIRAMFIN.NS,COALINDIA.NS,-0.919502936407891,89,Negative
SHRIRAMFIN.NS,HDFCBANK.NS,0.781472033266094,41,Positive
SHRIRAMFIN.NS,SUNPHARMA.NS,0.8746643849057649,15,Positive
SHRIRAMFIN.NS,ZOMATO.NS,0.8520197083403517,0,Positive
SHRIRAMFIN.NS,AXISBANK.NS,-0.8822383769824277,83,Negative
SHRIRAMFIN.NS,JSWSTEEL.NS,0.7985222738146442,0,Positive
SHRIRAMFIN.NS,ICICIGI.NS,0.9002592111574711,0,Positive
SHRIRAMFIN.NS,NAUKRI.NS,0.818952189664284,46,Positive
SHRIRAMFIN.NS,NESTLEIND.NS,-0.8701768977226375,82,Negative
SHRIRAMFIN.NS,RELIANCE.NS,-0.9010729966419014,74,Negative
SHRIRAMFIN.NS,INDIGO.NS,0.7700809852408698,-4,Positive
SHRIRAMFIN.NS,BHARTIARTL.NS,-0.8002139872112228,-120,Negative
SHRIRAMFIN.NS,ICICIBANK.NS,0.7872211973486115,48,Positive
SHRIRAMFIN.NS,WIPRO.NS,0.8692131449046382,95,Positive
SHRIRAMFIN.NS,POWERGRID.NS,-0.8844698706582268,94,Negative
SHRIRAMFIN.NS,TITAN.NS,-0.571573579678186,-82,Negative
SHRIRAMFIN.NS,ATGL.NS,-0.8415042351206672,88,Negative
SHRIRAMFIN.NS,SHREECEM.NS,0.7912524612211436,118,Positive
SHRIRAMFIN.NS,ADANIPORTS.NS,-0.9213868210179849,86,Negative
SHRIRAMFIN.NS,SBILIFE.NS,-0.7909008653717124,89,Negative
SHRIRAMFIN.NS,DRREDDY.NS,-0.7005353060924555,-107,Negative
SHRIRAMFIN.NS,TATACONSUM.NS,-0.8273786874142742,72,Negative
SHRIRAMFIN.NS,INFY.NS,-0.8237929958129044,-101,Negative
SHRIRAMFIN.NS,BRITANNIA.NS,-0.8548845302566725,-119,Negative
SHRIRAMFIN.NS,ZYDUSLIFE.NS,0.8168971464510462,-36,Positive
SHRIRAMFIN.NS,ADANIENT.NS,-0.8967030284801275,107,Negative
SHRIRAMFIN.NS,HAL.NS,-0.8420721522293642,101,Negative
SHRIRAMFIN.NS,ADANIENSOL.NS,-0.8684379513874181,107,Negative
SHRIRAMFIN.NS,LODHA.NS,0.7786223675516692,-67,Positive
SHRIRAMFIN.NS,TCS.NS,-0.7455733180334192,-101,Negative
SHRIRAMFIN.NS,JINDALSTEL.NS,-0.7666891446726323,87,Negative
SHRIRAMFIN.NS,ITC.NS,-0.8997657937207502,101,Negative
SHRIRAMFIN.NS,TATASTEEL.NS,-0.8848774281845927,87,Negative
SHRIRAMFIN.NS,HINDUNILVR.NS,-0.8708392302441278,-111,Negative
SHRIRAMFIN.NS,HDFCLIFE.NS,-0.8601798986611162,110,Negative
SHRIRAMFIN.NS,BANKBARODA.NS,-0.7365089547668421,103,Negative
SHRIRAMFIN.NS,PFC.NS,-0.8179486773020609,-120,Negative
SHRIRAMFIN.NS,DMART.NS,-0.9013563410062042,79,Negative
SHRIRAMFIN.NS,SBIN.NS,-0.7007267972347707,-120,Negative
SHRIRAMFIN.NS,GODREJCP.NS,-0.902237377141926,76,Negative
SHRIRAMFIN.NS,UNITDSPR.NS,0.8231742835744593,3,Positive
SHRIRAMFIN.NS,UNIONBANK.NS,-0.7678796601919535,29,Negative
SHRIRAMFIN.NS,KOTAKBANK.NS,-0.6309519989862741,-95,Negative
SHRIRAMFIN.NS,ADANIPOWER.NS,-0.8723023974870505,78,Negative
SHRIRAMFIN.NS,BOSCHLTD.NS,0.7519373186299796,7,Positive
SHRIRAMFIN.NS,HCLTECH.NS,-0.8650047115531486,-90,Negative
SHRIRAMFIN.NS,MARUTI.NS,-0.6852687447735504,40,Negative
SHRIRAMFIN.NS,AMBUJACEM.NS,-0.8553373238756102,80,Negative
SHRIRAMFIN.NS,NTPC.NS,-0.9151231547275364,97,Negative
SHRIRAMFIN.NS,LT.NS,-0.48198416536243704,89,No Correlation
SHRIRAMFIN.NS,ASIANPAINT.NS,-0.8893651722909077,83,Negative
SHRIRAMFIN.NS,RECLTD.NS,-0.8494752273860339,104,Negative
SHRIRAMFIN.NS,APOLLOHOSP.NS,0.8000582233346741,18,Positive
SHRIRAMFIN.NS,PIDILITIND.NS,-0.8196819064875869,97,Negative
SHRIRAMFIN.NS,ICICIPRULI.NS,-0.9360965251508716,104,Negative
SHRIRAMFIN.NS,TORNTPHARM.NS,0.8537863970144741,-1,Positive
SHRIRAMFIN.NS,PNB.NS,-0.7808261999398403,35,Negative
SHRIRAMFIN.NS,BEL.NS,-0.7882982399334864,-120,Negative
SHRIRAMFIN.NS,TECHM.NS,0.8539729359994088,44,Positive
SHRIRAMFIN.NS,LICI.NS,-0.8739400492558214,88,Negative
SHRIRAMFIN.NS,CIPLA.NS,-0.8595380838392064,-105,Negative
SHRIRAMFIN.NS,NHPC.NS,-0.8560844892146355,79,Negative
SHRIRAMFIN.NS,JIOFIN.NS,-0.876090632386467,97,Negative
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.8790426327772158,86,Negative
SHRIRAMFIN.NS,DABUR.NS,-0.8807859983817085,74,Negative
SHRIRAMFIN.NS,ONGC.NS,-0.792316845487373,86,Negative
SHRIRAMFIN.NS,IRFC.NS,-0.8084874546353702,-120,Negative
SHRIRAMFIN.NS,DIVISLAB.NS,0.8888867193984754,50,Positive
SHRIRAMFIN.NS,GAIL.NS,-0.9383201768615511,95,Negative
SHRIRAMFIN.NS,LTIM.NS,0.8307001832913511,4,Positive
SHRIRAMFIN.NS,IRCTC.NS,-0.879609107291248,82,Negative
SHRIRAMFIN.NS,ADANIGREEN.NS,-0.905202003604094,89,Negative
SHRIRAMFIN.NS,VEDL.NS,-0.7136840450732627,-120,Negative
