Stock A,Stock B,Correlation,Lag
TATAMOTORS.NS,EICHERMOT.NS,-0.4316992474543693,-11
TATAMOTORS.NS,TVSMOTOR.NS,0.24781409183691513,20
TATAMOTORS.NS,HEROMOTOCO.NS,0.7930484008254867,20
TATAMOTORS.NS,MARUTI.NS,0.5520414336630719,-20
TATAMOTORS.NS,M&M.NS,-0.49021436895133175,-8
TATAMOTORS.NS,BAJAJ-AUTO.NS,0.6835050436723866,20
TATAMOTORS.NS,MOTHERSON.NS,0.45979258176762317,20
EICHERMOT.NS,TVSMOTOR.NS,0.707167261187399,20
EICHERMOT.NS,HEROMOTOCO.NS,0.0975527555905785,20
EICHERMOT.NS,MARUTI.NS,-0.23410719648993034,20
EICHERMOT.NS,M&M.NS,0.8573301762411047,3
EICHERMOT.NS,BAJAJ-AUTO.NS,0.2343577319384807,0
EICHERMOT.NS,MOTHERSON.NS,0.48644485636404333,20
TVSMOTOR.NS,HEROMOTOCO.NS,0.589504967561903,-15
TVSMOTOR.NS,MARUTI.NS,-0.38242684836202423,20
TVSMOTOR.NS,M&M.NS,0.7256324374533879,0
TVSMOTOR.NS,BAJAJ-AUTO.NS,0.7759146262815783,0
TVSMOTOR.NS,MOTHERSON.NS,0.8006715901988148,0
HEROMOTOCO.NS,MARUTI.NS,0.632703566526235,-20
HEROMOTOCO.NS,M&M.NS,0.28156076407262487,15
HEROMOTOCO.NS,BAJAJ-AUTO.NS,0.7925145907760444,5
HEROMOTOCO.NS,MOTHERSON.NS,0.8963947042122338,15
MARUTI.NS,M&M.NS,-0.4567475222732211,-20
MARUTI.NS,BAJAJ-AUTO.NS,0.4249557761445647,20
MARUTI.NS,MOTHERSON.NS,0.42448718126733226,20
M&M.NS,BAJAJ-AUTO.NS,0.4137521193033339,-8
M&M.NS,MOTHERSON.NS,0.6513408048325562,0
BAJAJ-AUTO.NS,MOTHERSON.NS,0.7740579056712076,2
