Stock A,Stock B,Correlation,Lag
ZOMATO.NS,NAUKRI.NS,0.9327552350443669,4
ZOMATO.NS,INDIGO.NS,0.7127839057495631,0
ZOMATO.NS,TRENT.NS,0.9195803395200639,5
ZOMATO.NS,IRCTC.NS,-0.7864431525956875,20
ZOMATO.NS,LODHA.NS,-0.22704977165487855,20
ZOMATO.NS,VBL.NS,0.4406525769102462,-11
NAUKRI.NS,INDIGO.NS,0.737550572941632,-3
NAUKRI.NS,TRENT.NS,0.8899599919795045,-1
NAUKRI.NS,IRCTC.NS,-0.860645368329291,20
NAUKRI.NS,LODHA.NS,0.21126354434694872,-4
NAUKRI.NS,VBL.NS,0.39497084271903143,-14
INDIGO.NS,TRENT.NS,0.7935571495253942,11
INDIGO.NS,IRCTC.NS,-0.4767993928832702,20
INDIGO.NS,LODHA.NS,0.3748505583048638,0
INDIGO.NS,VBL.NS,0.3928230310008582,2
TRENT.NS,IRCTC.NS,-0.7815275646839039,20
TRENT.NS,LODHA.NS,0.19707307665273377,-16
TRENT.NS,VBL.NS,0.4990457002469591,-18
IRCTC.NS,LODHA.NS,0.3316288589282995,19
IRCTC.NS,VBL.NS,0.4211085823897695,19
LODHA.NS,VBL.NS,0.6481436066343805,0
