Stock A,Stock B,Correlation,Lag
ITC.NS,HINDUNILVR.NS,0.827536175515301,-1
ITC.NS,NESTLEIND.NS,0.30055793598763325,-20
ITC.NS,TATACONSUM.NS,0.3909826352071354,-20
ITC.NS,BRITANNIA.NS,0.7441773179798439,-20
ITC.NS,DABUR.NS,0.7649033604213797,-20
ITC.NS,GODREJCP.NS,0.7388684473798373,-20
ITC.NS,UNITDSPR.NS,0.8098535649765561,11
HINDUNILVR.NS,NESTLEIND.NS,0.42703594511901816,0
HINDUNILVR.NS,TATACONSUM.NS,0.519181409962643,-19
HINDUNILVR.NS,BRITANNIA.NS,0.9304782543771255,0
HINDUNILVR.NS,DABUR.NS,0.8982556944221703,-13
HINDUNILVR.NS,GODREJCP.NS,0.8398286142126108,-19
HINDUNILVR.NS,UNITDSPR.NS,0.6111053662517194,20
NESTLEIND.NS,TATACONSUM.NS,0.8986115153342941,0
NESTLEIND.NS,BRITANNIA.NS,0.5677249007234688,18
NESTLEIND.NS,DABUR.NS,0.6216030346904096,-2
NESTLEIND.NS,GODREJCP.NS,0.7192517848017201,0
NESTLEIND.NS,UNITDSPR.NS,-0.596872469601595,-20
TATACONSUM.NS,BRITANNIA.NS,0.6484984979629634,16
TATACONSUM.NS,DABUR.NS,0.7023008529994601,-1
TATACONSUM.NS,GODREJCP.NS,0.7475311536388046,0
TATACONSUM.NS,UNITDSPR.NS,-0.5151551891605577,-20
BRITANNIA.NS,DABUR.NS,0.9161673580780291,-12
BRITANNIA.NS,GODREJCP.NS,0.8665199630611973,-10
BRITANNIA.NS,UNITDSPR.NS,0.4727861084400047,20
DABUR.NS,GODREJCP.NS,0.924040662797375,0
DABUR.NS,UNITDSPR.NS,0.36472330269942077,20
GODREJCP.NS,UNITDSPR.NS,-0.33580038744904916,-20
