Stock A,Stock B,Correlation,Lag
RELIANCE.NS,ONGC.NS,0.7658266343633626,20
RELIANCE.NS,GAIL.NS,0.7785087400465358,20
RELIANCE.NS,NTPC.NS,0.7545699493644975,20
RELIANCE.NS,TATAPOWER.NS,0.722128613657063,20
RELIANCE.NS,ADANIGREEN.NS,0.9028369936463553,20
RELIANCE.NS,ADANIPOWER.NS,0.7760261754962431,0
RELIANCE.NS,JSWENERGY.NS,0.5722465825342069,20
ONGC.NS,GAIL.NS,0.8055373639759714,0
ONGC.NS,NTPC.NS,0.7788533918543318,20
ONGC.NS,TATAPOWER.NS,0.5169542961859684,20
ONGC.NS,ADANIGREEN.NS,0.6403928188942494,17
ONGC.NS,ADANIPOWER.NS,0.7355785666873877,-20
ONGC.NS,JSWENERGY.NS,0.5817073998485303,20
GAIL.NS,NTPC.NS,0.8701624770934118,0
GAIL.NS,TATAPOWER.NS,0.8314861117000439,0
GAIL.NS,ADANIGREEN.NS,0.7055449015320214,-20
GAIL.NS,ADANIPOWER.NS,0.8074114006211401,-16
GAIL.NS,JSWENERGY.NS,0.8460883388403504,0
NTPC.NS,TATAPOWER.NS,0.8235360432261498,0
NTPC.NS,ADANIGREEN.NS,0.7317537661960875,-20
NTPC.NS,ADANIPOWER.NS,0.7317331895128285,-20
NTPC.NS,JSWENERGY.NS,0.8174106965772452,0
TATAPOWER.NS,ADANIGREEN.NS,0.8353529067734449,-20
TATAPOWER.NS,ADANIPOWER.NS,0.6982324007701604,0
TATAPOWER.NS,JSWENERGY.NS,0.7845100616817278,0
ADANIGREEN.NS,ADANIPOWER.NS,0.7380667386719106,0
ADANIGREEN.NS,JSWENERGY.NS,0.6525989864782433,20
ADANIPOWER.NS,JSWENERGY.NS,0.7257236998292594,20
