Stock A,Stock B,Correlation,Lag
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.6655856734691793,12
SHRIRAMFIN.NS,CHOLAFIN.NS,0.7686505574738919,0
SHRIRAMFIN.NS,BAJAJFINSV.NS,0.6467472975241046,0
SHRIRAMFIN.NS,BAJFINANCE.NS,0.23222993778392936,0
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.5271467062270173,20
SHRIRAMFIN.NS,HDFCBANK.NS,0.7362505922084847,0
SHRIRAMFIN.NS,AXISBANK.NS,0.5046516467191308,-20
SHRIRAMFIN.NS,ICICIBANK.NS,0.7789333502430652,2
SHRIRAMFIN.NS,SBIN.NS,0.3571020333327228,-20
SHRIRAMFIN.NS,KOTAKBANK.NS,0.44923371654368693,-12
SHRIRAMFIN.NS,BANKBARODA.NS,-0.4350247388194031,20
SHRIRAMFIN.NS,PNB.NS,-0.7227980604078522,20
SHRIRAMFIN.NS,UNIONBANK.NS,-0.740533656524506,20
BAJAJHLDNG.NS,CHOLAFIN.NS,0.38021947074795304,-13
BAJAJHLDNG.NS,BAJAJFINSV.NS,0.6015828342221856,3
BAJAJHLDNG.NS,BAJFINANCE.NS,0.5298680741742291,0
BAJAJHLDNG.NS,INDUSINDBK.NS,-0.8140878392739669,20
BAJAJHLDNG.NS,HDFCBANK.NS,0.8492944635521815,-11
BAJAJHLDNG.NS,AXISBANK.NS,-0.5135819188017238,20
BAJAJHLDNG.NS,ICICIBANK.NS,0.8600399916435453,-5
BAJAJHLDNG.NS,SBIN.NS,-0.43116238463353024,20
BAJAJHLDNG.NS,KOTAKBANK.NS,0.6362055783987626,0
BAJAJHLDNG.NS,BANKBARODA.NS,-0.8194942962342192,9
BAJAJHLDNG.NS,PNB.NS,-0.9225762726570401,9
BAJAJHLDNG.NS,UNIONBANK.NS,-0.8775947276345171,9
CHOLAFIN.NS,BAJAJFINSV.NS,0.6099393699159685,0
CHOLAFIN.NS,BAJFINANCE.NS,0.41752085936817124,-1
CHOLAFIN.NS,INDUSINDBK.NS,0.20813472556484416,-17
CHOLAFIN.NS,HDFCBANK.NS,0.4399910204427986,0
CHOLAFIN.NS,AXISBANK.NS,0.5779993129549592,0
CHOLAFIN.NS,ICICIBANK.NS,0.530726201255077,20
CHOLAFIN.NS,SBIN.NS,0.312769066303908,15
CHOLAFIN.NS,KOTAKBANK.NS,0.43212440330412205,0
CHOLAFIN.NS,BANKBARODA.NS,-0.23951816208034318,-9
CHOLAFIN.NS,PNB.NS,-0.45644818174278146,20
CHOLAFIN.NS,UNIONBANK.NS,-0.5310571753494505,20
BAJAJFINSV.NS,BAJFINANCE.NS,0.6952447963413565,0
BAJAJFINSV.NS,INDUSINDBK.NS,-0.35997118314952214,20
BAJAJFINSV.NS,HDFCBANK.NS,0.38310431045227056,16
BAJAJFINSV.NS,AXISBANK.NS,-0.1669681889727986,-20
BAJAJFINSV.NS,ICICIBANK.NS,0.48718182660803366,0
BAJAJFINSV.NS,SBIN.NS,-0.3967518182086006,-8
BAJAJFINSV.NS,KOTAKBANK.NS,0.6398056794895126,-2
BAJAJFINSV.NS,BANKBARODA.NS,-0.6730633319386661,-12
BAJAJFINSV.NS,PNB.NS,-0.5765261292428299,6
BAJAJFINSV.NS,UNIONBANK.NS,-0.5838820594679999,-10
BAJFINANCE.NS,INDUSINDBK.NS,-0.4859430086197045,-20
BAJFINANCE.NS,HDFCBANK.NS,0.31785258657429444,0
BAJFINANCE.NS,AXISBANK.NS,-0.5638461656956268,-18
BAJFINANCE.NS,ICICIBANK.NS,0.3260106035909162,0
BAJFINANCE.NS,SBIN.NS,-0.4668471928736564,-8
BAJFINANCE.NS,KOTAKBANK.NS,0.7409430182036891,0
BAJFINANCE.NS,BANKBARODA.NS,-0.6067215466328891,-5
BAJFINANCE.NS,PNB.NS,-0.43521083661112486,-4
BAJFINANCE.NS,UNIONBANK.NS,-0.41335394003987036,8
INDUSINDBK.NS,HDFCBANK.NS,-0.8088121696684357,-20
INDUSINDBK.NS,AXISBANK.NS,0.6360088154108873,20
INDUSINDBK.NS,ICICIBANK.NS,-0.8050859794529073,-20
INDUSINDBK.NS,SBIN.NS,0.40260828149390776,20
INDUSINDBK.NS,KOTAKBANK.NS,-0.46732014762747764,20
INDUSINDBK.NS,BANKBARODA.NS,0.6784618343571223,17
INDUSINDBK.NS,PNB.NS,0.8472563042509558,-20
INDUSINDBK.NS,UNIONBANK.NS,0.7615809903908941,-17
HDFCBANK.NS,AXISBANK.NS,0.2598593032111145,-20
