Stock A,Stock B,Correlation,Lag
SUNPHARMA.NS,TORNTPHARM.NS,0.9285201381579816,-12
SUNPHARMA.NS,CIPLA.NS,0.7138424056259226,-20
SUNPHARMA.NS,DRREDDY.NS,0.6824768982279183,-17
SUNPHARMA.NS,ZYDUSLIFE.NS,-0.5141212420434504,20
SUNPHARMA.NS,DIVISLAB.NS,0.8465044848923052,20
SUNPHARMA.NS,APOLLOHOSP.NS,0.9146782534798341,0
TORNTPHARM.NS,CIPLA.NS,0.6344906227621139,-15
TORNTPHARM.NS,DRREDDY.NS,0.6240186445421367,-8
TORNTPHARM.NS,ZYDUSLIFE.NS,0.4925055220312432,-20
TORNTPHARM.NS,DIVISLAB.NS,0.8963078261675612,20
TORNTPHARM.NS,APOLLOHOSP.NS,0.8649404233258133,3
CIPLA.NS,DRREDDY.NS,0.6090778355174908,0
CIPLA.NS,ZYDUSLIFE.NS,0.7709716220609244,-19
CIPLA.NS,DIVISLAB.NS,0.462459483167745,20
CIPLA.NS,APOLLOHOSP.NS,0.6538213326514286,20
DRREDDY.NS,ZYDUSLIFE.NS,0.6804773567962764,-16
DRREDDY.NS,DIVISLAB.NS,0.4198579265417829,20
DRREDDY.NS,APOLLOHOSP.NS,0.5348570181433098,0
ZYDUSLIFE.NS,DIVISLAB.NS,-0.3452389541593094,-20
ZYDUSLIFE.NS,APOLLOHOSP.NS,-0.4612921345787828,-20
DIVISLAB.NS,APOLLOHOSP.NS,0.8336398565488876,-12
