Stock A,Stock B,Correlation,Lag
INFY.NS,TCS.NS,0.761972897255438,-2
INFY.NS,WIPRO.NS,0.7874960498111644,0
INFY.NS,HCLTECH.NS,0.9089538187384048,9
INFY.NS,TECHM.NS,0.9279436871324723,0
INFY.NS,LTIM.NS,0.9322382332981362,0
TCS.NS,WIPRO.NS,0.4181605933002947,9
TCS.NS,HCLTECH.NS,0.6916187355945045,19
TCS.NS,TECHM.NS,0.5933336439439723,7
TCS.NS,LTIM.NS,0.7701668352995703,1
WIPRO.NS,HCLTECH.NS,0.7962863906144653,0
WIPRO.NS,TECHM.NS,0.8718501729079828,-13
WIPRO.NS,LTIM.NS,0.7521858315567856,-9
HCLTECH.NS,TECHM.NS,0.9222995379621972,-17
HCLTECH.NS,LTIM.NS,0.9029460608456491,-17
TECHM.NS,LTIM.NS,0.8816440548325182,0
