Date,SHRIRAMFIN.NS,BAJAJHLDNG.NS,CHOLAFIN.NS,BAJAJFINSV.NS,BAJFINANCE.NS,INDUSINDBK.NS,HINDALCO.NS,COALINDIA.NS,HDFCBANK.NS,SUNPHARMA.NS,ZOMATO.NS,AXISBANK.NS,JSWSTEEL.NS,ICICIGI.NS,NAUKRI.NS,NESTLEIND.NS,RELIANCE.NS,INDIGO.NS,BHARTIARTL.NS,ICICIBANK.NS,WIPRO.NS,POWERGRID.NS,TITAN.NS,ATGL.NS,SHREECEM.NS,ADANIPORTS.NS,SBILIFE.NS,DRREDDY.NS,TATACONSUM.NS,INFY.NS,BRITANNIA.NS,ZYDUSLIFE.NS,ADANIENT.NS,HAL.NS,ADANIENSOL.NS,LODHA.NS,TCS.NS,JINDALSTEL.NS,ITC.NS,TATASTEEL.NS,HINDUNILVR.NS,HDFCLIFE.NS,BANKBARODA.NS,PFC.NS,DMART.NS,SBIN.NS,GODREJCP.NS,UNITDSPR.NS,UNIONBANK.NS,KOTAKBANK.NS,ADANIPOWER.NS,BOSCHLTD.NS,HCLTECH.NS,MARUTI.NS,AMBUJACEM.NS,NTPC.NS,LT.NS,ASIANPAINT.NS,RECLTD.NS,APOLLOHOSP.NS,PIDILITIND.NS,ICICIPRULI.NS,TORNTPHARM.NS,PNB.NS,BEL.NS,TECHM.NS,LICI.NS,CIPLA.NS,NHPC.NS,JIOFIN.NS,TATAMOTORS.NS,DABUR.NS,ONGC.NS,IRFC.NS,DIVISLAB.NS,GAIL.NS,LTIM.NS,IRCTC.NS,ADANIGREEN.NS,VEDL.NS,EICHERMOT.NS,CANBK.NS,IOC.NS,GRASIM.NS,TVSMOTOR.NS,HEROMOTOCO.NS,MOTHERSON.NS,DLF.NS,BPCL.NS,JSWENERGY.NS,BAJAJ-AUTO.NS,M&M.NS,TRENT.NS,TATAPOWER.NS,ABB.NS,SIEMENS.NS,BHEL.NS,ULTRACEMCO.NS,HAVELLS.NS,VBL.NS
26-02-2024,497.0299988,8802.200195,1110.849976,1614.300049,6643.25,1466.5,505.0499878,442.2999878,1422.300049,1556.949951,164.1999969,1085.199951,808.75,1650.550049,5256.950195,2583.899902,1487.324951,3184.050049,1110.050049,1054.199951,266.4500122,287.7999878,3622.5,1075.550049,26099.69922,1338.150024,1549.150024,1288.150024,1177.099976,1660.150024,4901.899902,942.5499878,3327.75,3049.75,1176.150024,1115.400024,4001.050049,771.2999878,409.2000122,142.6499939,2404.25,576.3499756,269.5499878,411.4500122,3850.350098,758.9000244,1252.699951,1146.80,147.1499939,1706.300049,570.4500122,28772.75,1649.800049,11467,608.5999756,337.6000061,3470.149902,2868.449951,459.5,6584,2717.399902,523.0999756,2624.100098,124.8499985,204.25,1298.25,1041.150024,1469.849976,92.19999695,327.7999878,936.9500122,529.25,269.8500061,152.3000031,3577.350098,182.1000061,5466.149902,968.4000244,1970.449951,265.25,3952.949951,114.6500015,177.5,2186.899902,2162.100098,4496.100098,115.4000015,902.9000244,313.5750122,523.7000122,8448,1929.800049,3844.600098,378.3999939,5296.200195,4565.75,228.0500031,9930.049805,1424.050049,614.5
27-02-2024,474.480011,8703,1098.650024,1600.599976,6556.25,1493.050049,509.6499939,441.3999939,1420.150024,1582.75,161.3000031,1079.050049,818.9500122,1726.75,5345.450195,2598.699951,1485.650024,3183,1127.5,1060.199951,265.7250061,292.5,3653.850098,1048.300049,26191.30078,1329.449951,1542.699951,1289.920044,1183.599976,1663.599976,4904.350098,942.8499756,3302.300049,3095.5,1122.699951,1147.25,4104.399902,776.0999756,411.1499939,144.1999969,2405.300049,581.5999756,270.3500061,401.5,3852.199951,749.8499756,1266.050049,1153.30,146.1000061,1706.75,566.7000122,28865.44922,1658.800049,11500.65039,603.3499756,336.1000061,3506.449951,2859.550049,443.2000122,6620.600098,2731.949951,518.8499756,2625.949951,123.4000015,205.3500061,1296.050049,1040.199951,1487.449951,90.19999695,318.5,962.7000122,535.5999756,269.3500061,151.6000061,3539.800049,180.5,5442.700195,952.75,1979.5,263.8999939,4002.75,114.3799973,173.25,2204.800049,2133.149902,4430.049805,115.3499985,916.4000244,312.5249939,521.8499756,8463.5,1950.599976,3937.5,375.5499878,5450.5,4585.299805,222.6000061,9951.099609,1469.150024,586.7999878
28-02-2024,469.7600098,8705.299805,1069.699951,1584.5,6498.700195,1449.199951,504.3999939,434.2000122,1409.400024,1573.849976,159.3500061,1074.199951,798.5999756,1724.449951,5314.899902,2570.899902,1455.625,3125.899902,1128.75,1046.199951,258.8500061,279.5499878,3594.699951,1018.900024,25606.40039,1299.5,1540.199951,1285.609985,1167.949951,1671.25,4887.799805,932.5999756,3219,3085.199951,1076.449951,1151.650024,4118.950195,755.25,408.2999878,140.75,2421.550049,580.5999756,261.75,389.5,3850,742.5,1234.050049,1137.65,140.8500061,1683.599976,549.5999756,28327.55078,1651.900024,11152.7998,589.25,333.2999878,3470.199951,2794.350098,426.6000061,6362.350098,2701.850098,523.2999878,2613.100098,120.75,205.6499939,1285.849976,1006.950012,1477,88.05000305,308.2999878,958.0499878,536.25,265.75,147.3999939,3518.350098,179.3500061,5409.950195,924.0499878,1918.150024,262.9500122,3863.75,110.0899963,167.3999939,2186,2094.550049,4375.049805,118.5500031,899,304.6499939,507.6000061,8188.649902,1901.650024,3924.800049,365.75,5428.600098,4576.799805,224.6999969,9804.950195,1534.349976,559.1400146
29-02-2024,487.7200012,9149.599609,1089.199951,1593.800049,6495.350098,1474.900024,503.8500061,436.7000122,1403.400024,1577.949951,165.4499969,1075.099976,800.0999756,1711.75,5267.75,2596.199951,1460.800049,3155.350098,1123.349976,1052.199951,259.2999878,282.8500061,3624.399902,1025.650024,25504.40039,1320.5,1552.550049,1284.849976,1190.050049,1673.900024,4965.200195,941.9000244,3285.399902,3084.050049,1064.849976,1165.25,4095.100098,776.25,406.2999878,140.8500061,2412.300049,582,265.4500122,400.7000122,3918.899902,748.0999756,1257.699951,1165.85,146.3000031,1689.449951,549.9500122,28590.84961,1663.849976,11288.34961,605.9000244,335.6000061,3477.550049,2821.899902,442.0499878,6101.600098,2736,532.6500244,2666.100098,121.8499985,205.1000061,1273.849976,1022.799988,1480.349976,88.15000153,310,950.2000122,538.1500244,264.6000061,146.75,3488.800049,182.25,5300.850098,927.4000244,1895.050049,268.0499878,3792.399902,112.8899994,165.5500031,2191.399902,2139.199951,4426.5,119.1999969,901.2000122,301.9249878,508.2999878,7909.350098,1932.400024,3881.800049,371.75,5444.950195,4679.25,227.5500031,9892.400391,1531.349976,563.4000244
1/3/2024,490.0899963,8944.349609,1095.849976,1613.400024,6571.450195,1526.650024,519.0999756,446.3500061,1430.75,1559.25,166.5,1099.25,836.2000122,1643.849976,5284.25,2601.449951,1492.125,3157.350098,1128.699951,1086.900024,259.5499878,287.7000122,3765.899902,1039.150024,25637.80078,1322.099976,1542.150024,1238.709961,1201,1654.699951,4927.700195,925.3499756,3318.75,3154.300049,1072.400024,1173.300049,4094.350098,822.8499756,409.5,149.9499969,2409.699951,589.9500122,271.1499939,413.25,3884.149902,769.1500244,1267.449951,1167.25,146.6999969,1727.699951,554.1500244,28939.69922,1644.099976,11620.9502,617.5999756,343.5,3633.5,2831.75,459.6499939,6085.399902,2757.5,539.4500122,2668.649902,124.8499985,205.6000061,1271.800049,1029.699951,1470.900024,89.84999847,317.8999939,977.4000244,541.0999756,270.5499878,147.3999939,3482.399902,184.1499939,5273.549805,929.2999878,1969.550049,271.7999878,3843.550049,115.7300034,169.3999939,2254.899902,2242.600098,4507.100098,119.4000015,909.9000244,311.6499939,503.6499939,8040.049805,1972.949951,3901.25,377.3999939,5489.850098,4700.75,235.3000031,10135.5,1515.599976,567.1400146
4/3/2024,489.2999878,8855.599609,1075.550049,1619.300049,6602.450195,1531.300049,524.9500122,455.3999939,1432.699951,1552.099976,169.8000031,1106.75,824.2999878,1650.099976,5157.600098,2589.100098,1507.400024,3171.100098,1133.5,1092.349976,260.25,294.6499939,3732.399902,1025.900024,25730.30078,1342.599976,1517.949951,1267.02002,1203.25,1637.199951,4838.899902,946.25,3317.149902,3214.949951,1064.349976,1185,4080.699951,839.4500122,409.1000061,153.1000061,2422,610.2999878,273.2000122,421.5499878,3846.350098,772.0499878,1253.449951,1165.80,148.8500061,1727.199951,559.9000244,29313.40039,1637.949951,11594.15039,617.1500244,353.8500061,3644.449951,2831.75,464.9500122,6033.299805,2702.050049,546.9500122,2690.850098,126.0500031,209.6000061,1280.050049,1036.900024,1471.5,89.09999847,322.6000061,987.2000122,537.2999878,279.2000122,145.5500031,3482.300049,190.8500061,5216.850098,938,1940.699951,276.3500061,3751.449951,118.3799973,175.25,2234.149902,2232.350098,4611.700195,119.5999985,931.7999878,320.2250061,516.9000244,8207.299805,1921.050049,3919.800049,391.75,5631.549805,4689.200195,264.5499878,9978.400391,1553.949951,573.6599731
5/3/2024,486.2999878,8726.150391,1046.900024,1550.5,6324.25,1542.449951,522.0999756,460.6499939,1440.849976,1574.199951,165.8500061,1100.800049,819.2999878,1652.449951,5022.549805,2538.649902,1500.199951,3186.399902,1168.900024,1088.050049,256.6499939,295,3750.75,1020.150024,25009.75,1338.300049,1491.25,1260.660034,1200.599976,1606.5,4825.649902,953.75,3310.199951,3237,1070.300049,1206.550049,4012.100098,824.4500122,406.1499939,151.8500061,2399.850098,607.7000122,278.1000061,417.3500061,3834.5,783.9500122,1244.699951,1153.60,157.8999939,1715.699951,573.8499756,30047.90039,1619.349976,11670.59961,613.0999756,358.25,3612.600098,2820.399902,464.9500122,6061.100098,2699.699951,553.7000122,2661.949951,129.6999969,210.75,1272.5,1027.25,1473.449951,92.44999695,321.7000122,1021.900024,534.75,283.75,145.0500031,3484.449951,194.1000061,5131.549805,935.7999878,1947.400024,285.7000122,3791.899902,120.4899979,175.8500061,2231.5,2280.899902,4590,125.4499969,932.0499878,322.5499878,509.5,8351.75,1939.25,3852.300049,396.1499939,5680.850098,4730.149902,265.7999878,9838.349609,1540.150024,551.8200073
6/3/2024,474.9200134,8716.099609,1019.599976,1554.599976,6311.25,1554.550049,526.9500122,461.6000061,1442.599976,1604,161.5500031,1125,812.9000244,1655.800049,5075.950195,2533.050049,1503,3069.800049,1193.699951,1097.099976,256.5750122,293.7000122,3810.75,1005.849976,24754.25,1324.800049,1520.400024,1262.930054,1220.050049,1617.550049,4880.75,961.8499756,3233.949951,3228.199951,1069.5,1196.650024,4064.300049,830.1500244,407.8500061,151.6000061,2400.800049,613.9500122,282.5499878,424.2000122,3888.649902,783.9000244,1240.150024,1153.30,155,1759.75,576.7000122,30110.55078,1644.199951,11567.0498,598.2999878,351.9500122,3642.199951,2827.300049,469.6000061,6054.299805,2831.550049,576.8499756,2691.199951,130.3500061,210.4499969,1271,1010.299988,1485.25,91.5,326.3500061,1017.650024,531.5,280.25,140.5,3544.649902,190.4499969,5164.200195,929.0499878,1910.5,282.4500122,3793.199951,120,177.3500061,2236.5,2280,4635.299805,120.8499985,922.7000122,319.1749878,512.0499878,8605.799805,1970.650024,3872,394.9500122,5700.700195,4708.549805,255.1999969,9641.049805,1517.699951,573.539978
7/3/2024,489.9100037,8665.150391,1083.25,1582.800049,6421.049805,1563.75,536.7000122,458.6000061,1446.099976,1605.699951,160,1111.449951,830,1666.150024,5088.5,2560.949951,1478.925049,3105.699951,1199.699951,1087.949951,257.75,292.6499939,3786.899902,1009.200012,24705.90039,1325.449951,1510.400024,1264.829956,1261.550049,1616.449951,4889.149902,976.75,3226.550049,3317.300049,1069.599976,1172.699951,4108.600098,839,413.5499878,157.25,2419.550049,621.9500122,281.75,429.75,3925.949951,788.0499878,1234.25,1146.50,157.3500061,1748.050049,566.8499756,29501,1637.650024,11510.0498,603.1500244,352.2000122,3676.949951,2870.550049,472.8999939,6048.799805,2865.850098,583.5999756,2664.800049,129.8500061,215.1999969,1288.150024,1024.800049,1483.150024,90.05000305,333.8999939,1039.300049,535.25,278.1000061,143.6999969,3601.600098,188.5500031,5122.700195,937.2000122,1929.099976,282.8500061,3785.25,119.5899963,174.6000061,2228.100098,2259.699951,4652.899902,118.9499969,920.2999878,312.3500061,515.25,8879.049805,1897.550049,3952.199951,425.25,5770.75,4668.649902,257.5,9673.150391,1543.150024,569.3400269
11/3/2024,496.1900024,8616.150391,1095.449951,1598.800049,6433.75,1541.050049,533.7000122,453.8999939,1427.800049,1593.599976,154.8500061,1105.099976,829.7999878,1654.349976,5161.049805,2611.5,1466.599976,3218.550049,1196.599976,1078.699951,257.2749939,285.5499878,3750.149902,1000.150024,25312.25,1326.949951,1532.099976,1277.48999,1220.650024,1600.599976,4937.399902,994.4500122,3207.350098,3371.449951,1063.75,1180.900024,4122.350098,827.75,409.3999939,153.4499969,2389.850098,620.8499756,277.3999939,432.5499878,3979.649902,773.7000122,1238.300049,1147.90,153.75,1729.650024,566.9500122,29431.19922,1638.650024,11395.5498,602.0499878,347.9500122,3640.600098,2876.850098,484.1499939,6204.700195,2906.399902,600.2999878,2697.800049,128.8999939,212.5500031,1289,1011.900024,1504.099976,90.15000153,355.6499939,1028,533.4000244,274,141.1000061,3604.75,183.25,5123,938.5999756,1930.300049,275.3500061,3783.899902,117.25,174.25,2236.800049,2268.350098,4671.700195,116.3000031,911.25,313.2000122,509,8659.400391,1894.349976,4004.699951,413.1499939,5841.350098,4730.850098,254.5500031,9697.900391,1542.449951,565.7000122
