"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2021","EQ","942.00","955.50","942.00","946.15","950.25","950.50","950.65","955.50","375.25","31,42,822","2,98,77,12,518.10","52,922"
"31-Dec-2020","EQ","939.05","949.85","935.00","940.70","946.40","946.15","942.19","950.00","375.25","34,68,390","3,26,78,89,419.30","63,219"
"30-Dec-2020","EQ","938.00","950.00","931.00","935.90","941.15","940.70","940.88","950.00","375.25","63,82,809","6,00,54,37,042.05","1,29,019"
"29-Dec-2020","EQ","929.00","945.00","925.25","921.80","936.00","935.90","936.61","945.00","375.25","67,60,167","6,33,16,37,870.85","1,21,535"
"28-Dec-2020","EQ","925.00","927.50","913.50","919.35","922.70","921.80","921.16","935.00","375.25","38,84,750","3,57,84,79,998.20","88,769"
"24-Dec-2020","EQ","927.95","928.25","910.70","922.60","917.00","919.35","919.19","935.00","375.25","43,90,561","4,03,57,68,678.40","85,401"
"23-Dec-2020","EQ","920.00","935.00","914.80","913.80","921.90","922.60","925.27","935.00","375.25","1,07,23,068","9,92,17,35,580.65","1,76,400"
"22-Dec-2020","EQ","879.15","919.25","872.00","870.45","917.00","913.80","892.93","919.25","375.25","1,02,51,896","9,15,41,86,077.65","1,96,248"
"21-Dec-2020","EQ","886.65","910.50","850.00","890.65","872.00","870.45","892.43","910.70","375.25","88,75,855","7,92,10,82,596.25","2,01,257"
"18-Dec-2020","EQ","894.75","905.00","886.65","879.35","890.35","890.65","897.36","910.70","375.25","1,15,68,187","10,38,07,82,845.00","1,96,000"
"17-Dec-2020","EQ","887.00","887.00","877.00","885.05","878.00","879.35","882.14","910.70","375.25","48,63,371","4,29,01,69,955.00","1,33,920"
"16-Dec-2020","EQ","886.25","892.00","878.45","886.00","882.00","885.05","883.95","910.70","375.25","43,78,179","3,87,00,92,023.85","1,05,667"
"15-Dec-2020","EQ","874.70","889.00","870.00","873.00","885.10","886.00","883.14","910.70","375.25","75,27,270","6,64,76,42,107.80","1,44,698"
"14-Dec-2020","EQ","866.10","875.65","858.10","862.25","873.70","873.00","866.62","910.70","375.25","51,43,894","4,45,78,09,158.10","1,14,180"
