start='2025-01-04', end='2025-02-04'

All Lagged Correlations:
AXISBANK.NS and BRITANNIA.NS: Correlation = -0.40, Lag = -2 days
AXISBANK.NS and GOLD.NS: Correlation = nan, Lag = -5 days
AXISBANK.NS and HCLTECH.NS: Correlation = 0.70, Lag = -3 days
AXISBANK.NS and HDFCBANK.NS: Correlation = 0.77, Lag = -5 days
AXISBANK.NS and HEROMOTOCO.NS: Correlation = 0.64, Lag = -4 days
AXISBANK.NS and HINDUNILVR.NS: Correlation = 0.71, Lag = -3 days
AXISBANK.NS and ICICIBANK.NS: Correlation = 0.78, Lag = -2 days
AXISBANK.NS and INFY.NS: Correlation = 0.79, Lag = 0 days
AXISBANK.NS and ITC.NS: Correlation = 0.67, Lag = -4 days
AXISBANK.NS and KOTAKBANK.NS: Correlation = -0.73, Lag = -2 days
AXISBANK.NS and MARUTI.NS: Correlation = -0.73, Lag = -3 days
AXISBANK.NS and MM.NS: Correlation = nan, Lag = -5 days
AXISBANK.NS and NESTLEIND.NS: Correlation = 0.37, Lag = -3 days
AXISBANK.NS and NTPC.NS: Correlation = -0.34, Lag = 3 days
AXISBANK.NS and RELIANCE.NS: Correlation = -0.60, Lag = -3 days
AXISBANK.NS and TATAMOTORS.NS: Correlation = 0.80, Lag = 5 days
AXISBANK.NS and TATAPOWER.NS: Correlation = 0.35, Lag = 1 days
AXISBANK.NS and TCS.NS: Correlation = 0.68, Lag = 4 days
AXISBANK.NS and TITAN.NS: Correlation = 0.81, Lag = -5 days
AXISBANK.NS and WIPRO.NS: Correlation = -0.39, Lag = -2 days
BRITANNIA.NS and GOLD.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and HCLTECH.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and HDFCBANK.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and HEROMOTOCO.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and HINDUNILVR.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and ICICIBANK.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and INFY.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and ITC.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and KOTAKBANK.NS: Correlation = nan, Lag = -5 days
BRITANNIA.NS and MARUTI.NS: Correlation = nan, Lag = -5 days
