Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.7570552923108272,20,Positive
SHRIRAMFIN.NS,CHOLAFIN.NS,0.8358864108854743,-9,Positive
SHRIRAMFIN.NS,BAJAJFINSV.NS,0.7014914088652201,2,Positive
SHRIRAMFIN.NS,BAJFINANCE.NS,0.3339075605440227,-10,No Correlation
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.5968758254071279,20,Negative
SHRIRAMFIN.NS,HINDALCO.NS,0.6998760312292861,-11,Positive
SHRIRAMFIN.NS,COALINDIA.NS,0.5899375403454478,-20,Positive
SHRIRAMFIN.NS,HDFCBANK.NS,0.7636692374008889,2,Positive
SHRIRAMFIN.NS,SUNPHARMA.NS,0.9182863869749316,16,Positive
SHRIRAMFIN.NS,ZOMATO.NS,0.8951387225825017,5,Positive
SHRIRAMFIN.NS,AXISBANK.NS,0.612758415264552,-20,Positive
SHRIRAMFIN.NS,JSWSTEEL.NS,0.8456119854553773,1,Positive
SHRIRAMFIN.NS,ICICIGI.NS,0.9458509629773435,-3,Positive
SHRIRAMFIN.NS,NAUKRI.NS,0.8402419829143568,11,Positive
SHRIRAMFIN.NS,NESTLEIND.NS,-0.4354343994868086,20,No Correlation
SHRIRAMFIN.NS,RELIANCE.NS,-0.5164640080496636,20,Negative
SHRIRAMFIN.NS,INDIGO.NS,0.8173364632364564,-8,Positive
SHRIRAMFIN.NS,BHARTIARTL.NS,0.8396172550775204,17,Positive
SHRIRAMFIN.NS,ICICIBANK.NS,0.83671865034307,9,Positive
SHRIRAMFIN.NS,WIPRO.NS,0.6121362158028537,20,Positive
SHRIRAMFIN.NS,POWERGRID.NS,0.8605435024347874,-20,Positive
SHRIRAMFIN.NS,TITAN.NS,-0.18088530878865655,20,No Correlation
SHRIRAMFIN.NS,ATGL.NS,-0.7369317151518777,20,Negative
SHRIRAMFIN.NS,SHREECEM.NS,-0.30075616705222047,20,No Correlation
SHRIRAMFIN.NS,ADANIPORTS.NS,0.5657380986708589,-20,Positive
SHRIRAMFIN.NS,SBILIFE.NS,0.7902867165805612,-15,Positive
SHRIRAMFIN.NS,DRREDDY.NS,0.6418470036661615,6,Positive
SHRIRAMFIN.NS,TATACONSUM.NS,-0.3712281411628724,20,No Correlation
SHRIRAMFIN.NS,INFY.NS,0.8369713114366435,16,Positive
SHRIRAMFIN.NS,BRITANNIA.NS,0.8210406547959056,-20,Positive
SHRIRAMFIN.NS,ZYDUSLIFE.NS,0.7172018473723635,-20,Positive
SHRIRAMFIN.NS,ADANIENT.NS,-0.4148366775730772,20,No Correlation
SHRIRAMFIN.NS,HAL.NS,0.6522771053290712,-20,Positive
SHRIRAMFIN.NS,ADANIENSOL.NS,-0.4088870177009615,20,No Correlation
SHRIRAMFIN.NS,LODHA.NS,-0.24892424513509304,20,No Correlation
SHRIRAMFIN.NS,TCS.NS,0.7362485441768241,-8,Positive
