Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.6655856734691793,12,Positive
SHRIRAMFIN.NS,CHOLAFIN.NS,0.7686505574738921,0,Positive
SHRIRAMFIN.NS,BAJAJFINSV.NS,0.6467472975241044,0,Positive
SHRIRAMFIN.NS,BAJFINANCE.NS,0.2322299377839293,0,No Correlation
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.5271467062270171,20,Negative
SHRIRAMFIN.NS,HINDALCO.NS,0.6443681504363162,0,Positive
SHRIRAMFIN.NS,COALINDIA.NS,0.5475233010947331,-20,Positive
SHRIRAMFIN.NS,HDFCBANK.NS,0.7362505922084847,0,Positive
SHRIRAMFIN.NS,SUNPHARMA.NS,0.8746643849057649,15,Positive
SHRIRAMFIN.NS,ZOMATO.NS,0.8520197083403517,0,Positive
SHRIRAMFIN.NS,AXISBANK.NS,0.5046516467191309,-20,Positive
SHRIRAMFIN.NS,JSWSTEEL.NS,0.7985222738146442,0,Positive
SHRIRAMFIN.NS,ICICIGI.NS,0.9002592111574711,0,Positive
SHRIRAMFIN.NS,NAUKRI.NS,0.7917019814541781,13,Positive
SHRIRAMFIN.NS,NESTLEIND.NS,-0.3544744572169955,20,No Correlation
SHRIRAMFIN.NS,RELIANCE.NS,-0.4420479472791091,20,No Correlation
SHRIRAMFIN.NS,INDIGO.NS,0.7700809852408698,-4,Positive
SHRIRAMFIN.NS,BHARTIARTL.NS,0.7782923888833696,9,Positive
SHRIRAMFIN.NS,ICICIBANK.NS,0.7789333502430648,2,Positive
SHRIRAMFIN.NS,WIPRO.NS,0.5199764967678412,20,Positive
SHRIRAMFIN.NS,POWERGRID.NS,0.7641961810228493,-20,Positive
SHRIRAMFIN.NS,TITAN.NS,-0.09982861272546177,20,No Correlation
SHRIRAMFIN.NS,ATGL.NS,-0.6034640194438643,20,Negative
SHRIRAMFIN.NS,SHREECEM.NS,-0.3124263093734634,20,No Correlation
SHRIRAMFIN.NS,ADANIPORTS.NS,0.5168206274347239,-20,Positive
SHRIRAMFIN.NS,SBILIFE.NS,0.7753390312264301,-16,Positive
SHRIRAMFIN.NS,DRREDDY.NS,0.5973113240045483,5,Positive
SHRIRAMFIN.NS,TATACONSUM.NS,-0.31504735984162097,20,No Correlation
SHRIRAMFIN.NS,INFY.NS,0.7882261718777787,9,Positive
SHRIRAMFIN.NS,BRITANNIA.NS,0.7726813408209818,-20,Positive
SHRIRAMFIN.NS,ZYDUSLIFE.NS,0.6477700233721694,-20,Positive
SHRIRAMFIN.NS,ADANIENT.NS,-0.31773026207663746,20,No Correlation
SHRIRAMFIN.NS,HAL.NS,0.5723043494367854,-20,Positive
SHRIRAMFIN.NS,ADANIENSOL.NS,-0.307688320615534,20,No Correlation
SHRIRAMFIN.NS,LODHA.NS,-0.27092445010721433,20,No Correlation
SHRIRAMFIN.NS,TCS.NS,0.6761465511307208,-13,Positive
SHRIRAMFIN.NS,JINDALSTEL.NS,0.4108841716350197,-19,No Correlation
SHRIRAMFIN.NS,ITC.NS,0.8471629406848864,-4,Positive
SHRIRAMFIN.NS,TATASTEEL.NS,-0.5222351328127356,20,Negative
SHRIRAMFIN.NS,HINDUNILVR.NS,0.8513230096584999,-14,Positive
SHRIRAMFIN.NS,HDFCLIFE.NS,0.7942444593321921,0,Positive
SHRIRAMFIN.NS,BANKBARODA.NS,-0.435024738819403,20,No Correlation
SHRIRAMFIN.NS,PFC.NS,0.7052209458613152,-19,Positive
SHRIRAMFIN.NS,DMART.NS,0.41673283575512343,-20,No Correlation
SHRIRAMFIN.NS,SBIN.NS,0.3571020333327228,-20,No Correlation
SHRIRAMFIN.NS,GODREJCP.NS,0.6383767460546245,-20,Positive
SHRIRAMFIN.NS,UNITDSPR.NS,0.8231742835744593,3,Positive
SHRIRAMFIN.NS,UNIONBANK.NS,-0.7405336565245055,20,Negative
SHRIRAMFIN.NS,KOTAKBANK.NS,0.449233716543687,-12,No Correlation
SHRIRAMFIN.NS,ADANIPOWER.NS,0.3938134505150156,-20,No Correlation
SHRIRAMFIN.NS,BOSCHLTD.NS,0.7519373186299796,7,Positive
SHRIRAMFIN.NS,HCLTECH.NS,0.8155945188262866,20,Positive
SHRIRAMFIN.NS,MARUTI.NS,-0.49460804428599986,20,No Correlation
SHRIRAMFIN.NS,AMBUJACEM.NS,-0.4133465272915437,20,No Correlation
SHRIRAMFIN.NS,NTPC.NS,0.7251259426758416,-19,Positive
SHRIRAMFIN.NS,LT.NS,0.23592368704290217,0,No Correlation
SHRIRAMFIN.NS,ASIANPAINT.NS,0.43274216582706954,-20,No Correlation
SHRIRAMFIN.NS,RECLTD.NS,0.7225345934323274,-20,Positive
SHRIRAMFIN.NS,APOLLOHOSP.NS,0.8000582233346741,18,Positive
SHRIRAMFIN.NS,PIDILITIND.NS,0.7053149280797338,-13,Positive
SHRIRAMFIN.NS,ICICIPRULI.NS,0.8814394475509301,0,Positive
SHRIRAMFIN.NS,TORNTPHARM.NS,0.8537863970144741,-1,Positive
SHRIRAMFIN.NS,PNB.NS,-0.722798060407852,20,Negative
SHRIRAMFIN.NS,BEL.NS,0.6615410733435887,-19,Positive
SHRIRAMFIN.NS,TECHM.NS,0.7806390611434764,20,Positive
SHRIRAMFIN.NS,LICI.NS,0.434373056768922,-20,No Correlation
SHRIRAMFIN.NS,CIPLA.NS,0.7989400013606387,-14,Positive
SHRIRAMFIN.NS,NHPC.NS,-0.47824844326490507,20,No Correlation
SHRIRAMFIN.NS,JIOFIN.NS,-0.2863728885663278,20,No Correlation
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.32708031145806077,20,No Correlation
SHRIRAMFIN.NS,DABUR.NS,0.7210963375532201,-20,Positive
SHRIRAMFIN.NS,ONGC.NS,0.592501706825585,-20,Positive
SHRIRAMFIN.NS,IRFC.NS,0.48659863678387183,-20,No Correlation
SHRIRAMFIN.NS,DIVISLAB.NS,0.7785399358412207,20,Positive
SHRIRAMFIN.NS,GAIL.NS,0.6577491399180546,-20,Positive
SHRIRAMFIN.NS,LTIM.NS,0.8307001832913511,4,Positive
SHRIRAMFIN.NS,IRCTC.NS,-0.6125922423970882,20,Negative
